Title,URL,Volume Issue,Vol Issue Year
Significant stochastic dependencies in process models,https://www.sciencedirect.com/science/article/pii/S0306437923000595,Volume 118,Sep-23
"Process fragments discovery from emails: Functional, data and behavioral perspectives discovery",https://www.sciencedirect.com/science/article/pii/S0306437923000650,Volume 118,Sep-23
Flexible temporal constraint management in modularized processes,https://www.sciencedirect.com/science/article/pii/S0306437923000935,Volume 118,Sep-23
A statistical method for predicting quantitative variables in association rule mining,https://www.sciencedirect.com/science/article/pii/S0306437923000893,Volume 118,Sep-23
Automatically reconciling the trade-off between prediction accuracy and earliness in prescriptive business process monitoring,https://www.sciencedirect.com/science/article/pii/S030643792300090X,Volume 118,Sep-23
The Partition Bridge (PB) tree: Efficient nearest neighbor query processing on road networks,https://www.sciencedirect.com/science/article/pii/S0306437923000923,Volume 118,Sep-23
Relationships between tail entropies and local intrinsic dimensionality and their use for estimation and feature representation,https://www.sciencedirect.com/science/article/pii/S0306437923000819,Volume 118,Sep-23
Reproducible experiments with Learned Metric Index Framework,https://www.sciencedirect.com/science/article/pii/S0306437923000911,Volume 118,Sep-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S030643792300100X,Volume 117,Jul-23
Conformance checking of process event streams with constraints on data retention,https://www.sciencedirect.com/science/article/pii/S0306437923000649,Volume 117,Jul-23
Accelerating large-scale weighted similarity queries based on external storage,https://www.sciencedirect.com/science/article/pii/S0306437923000492,Volume 117,Jul-23
Mapping singly-linked rules to linear temporal logic formulas,https://www.sciencedirect.com/science/article/pii/S0306437923000583,Volume 117,Jul-23
A survey on the use of blockchains to achieve supply chain security,https://www.sciencedirect.com/science/article/pii/S0306437923000686,Volume 117,Jul-23
Multi-objective optimization with recommender systems: A systematic review,https://www.sciencedirect.com/science/article/pii/S0306437923000698,Volume 117,Jul-23
Simple querying service for OpenAPI descriptions with semantic extensions,https://www.sciencedirect.com/science/article/pii/S0306437923000777,Volume 117,Jul-23
Kernel-based clustering via Isolation Distributional Kernel,https://www.sciencedirect.com/science/article/pii/S0306437923000480,Volume 117,Jul-23
A hybrid recommendation algorithm based on user comment sentiment and matrix decomposition,https://www.sciencedirect.com/science/article/pii/S0306437923000807,Volume 117,Jul-23
Cardinality estimation via learned dynamic sample selection,https://www.sciencedirect.com/science/article/pii/S0306437923000881,Volume 117,Jul-23
A novel framework for the efficient evaluation of hybrid tree-pattern queries on large data graphs,https://www.sciencedirect.com/science/article/pii/S0306437923000856,Volume 117,Jul-23
Data-aware conformance checking with SMT,https://www.sciencedirect.com/science/article/pii/S0306437923000662,Volume 117,Jul-23
Adaptive search query generation and refinement in systematic literature review,https://www.sciencedirect.com/science/article/pii/S0306437923000674,Volume 117,Jul-23
A visual-semantic approach for building content-based recommender systems,https://www.sciencedirect.com/science/article/pii/S0306437923000790,Volume 117,Jul-23
Learning business process simulation models: A Hybrid process mining and deep learning approach,https://www.sciencedirect.com/science/article/pii/S0306437923000844,Volume 117,Jul-23
Bounding substreams in distributed stream processing,https://www.sciencedirect.com/science/article/pii/S030643792300087X,Volume 117,Jul-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S030643792300073X,Volume 116,Jun-23
BPMN-Sim: A multilevel structural similarity technique for BPMN process models,https://www.sciencedirect.com/science/article/pii/S0306437923000479,Volume 116,Jun-23
Discovering hybrid process models with bounds on time and complexity: When to be formal and when not?,https://www.sciencedirect.com/science/article/pii/S0306437923000509,Volume 116,Jun-23
And synopses for all: A synopses data engine for extreme scale analytics-as-a-service,https://www.sciencedirect.com/science/article/pii/S0306437923000571,Volume 116,Jun-23
Towards the efficient discovery of meaningful functional dependencies,https://www.sciencedirect.com/science/article/pii/S0306437923000601,Volume 116,Jun-23
Adaptive client and communication optimizations in Federated Learning,https://www.sciencedirect.com/science/article/pii/S0306437923000625,Volume 116,Jun-23
A social mechanism for healthcare consulting recommendation,https://www.sciencedirect.com/science/article/pii/S0306437923000613,Volume 116,Jun-23
Prescriptive process monitoring based on causal effect estimation,https://www.sciencedirect.com/science/article/pii/S0306437923000340,Volume 116,Jun-23
Natural language querying of process execution data,https://www.sciencedirect.com/science/article/pii/S0306437923000637,Volume 116,Jun-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437923000546,Volume 115,May-23
SheetReader: Efficient Specialized Spreadsheet Parsing,https://www.sciencedirect.com/science/article/pii/S0306437923000194,Volume 115,May-23
"GenCAT: Generating attributed graphs with controlled relationships between classes, attributes, and topology",https://www.sciencedirect.com/science/article/pii/S0306437923000315,Volume 115,May-23
Real-world K-Anonymity applications: The KGen approach and its evaluation in fraudulent transactions,https://www.sciencedirect.com/science/article/pii/S0306437923000297,Volume 115,May-23
Differentially private release of event logs for process mining,https://www.sciencedirect.com/science/article/pii/S0306437922001399,Volume 115,May-23
Efficient query evaluation techniques over large amount of distributed linked data,https://www.sciencedirect.com/science/article/pii/S0306437923000303,Volume 115,May-23
Normalizing object-centric process logs by applying database principles,https://www.sciencedirect.com/science/article/pii/S0306437923000327,Volume 115,May-23
Collaborative knowledge-aware recommendation based on neighborhood negative sampling,https://www.sciencedirect.com/science/article/pii/S0306437923000431,Volume 115,May-23
Cardinality constraints and functional dependencies in SQL: Taming data redundancy in logical database design,https://www.sciencedirect.com/science/article/pii/S0306437923000443,Volume 115,May-23
"Predictive compliance monitoring in process-aware information systems: State of the art, functionalities, research directions",https://www.sciencedirect.com/science/article/pii/S0306437923000467,Volume 115,May-23
Supervised learning of process discovery techniques using graph neural networks,https://www.sciencedirect.com/science/article/pii/S0306437923000455,Volume 115,May-23
Stochastic-aware precision and recall measures for conformance checking in process mining,https://www.sciencedirect.com/science/article/pii/S0306437923000339,Volume 115,May-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437923000388,Volume 114,Mar-23
A quantitative approach for the comparison of additive local explanation methods,https://www.sciencedirect.com/science/article/pii/S0306437922001405,Volume 114,Mar-23
A detection method for hybrid attacks in recommender systems,https://www.sciencedirect.com/science/article/pii/S0306437922001326,Volume 114,Mar-23
"Extending sticky-Datalog
±
via finite-position selection functions: Tractability, algorithms, and optimization",https://www.sciencedirect.com/science/article/pii/S030643792200134X,Volume 114,Mar-23
HCDC: A novel hierarchical clustering algorithm based on density-distance cores for data sets with varying density,https://www.sciencedirect.com/science/article/pii/S0306437922001375,Volume 114,Mar-23
Guided conditional functional dependency discovery,https://www.sciencedirect.com/science/article/pii/S0306437922001363,Volume 114,Mar-23
Reduction of data-value-aware process models: A relevance-based approach,https://www.sciencedirect.com/science/article/pii/S0306437922001351,Volume 114,Mar-23
Virtual self-adaptive bitmap for online cardinality estimation,https://www.sciencedirect.com/science/article/pii/S0306437922001387,Volume 114,Mar-23
StyleBERT: Text-audio sentiment analysis with Bi-directional Style Enhancement,https://www.sciencedirect.com/science/article/pii/S0306437922001259,Volume 114,Mar-23
Skyline recomputation in Big Data,https://www.sciencedirect.com/science/article/pii/S0306437922001429,Volume 114,Mar-23
Conformance checking artefacts through weighted partial MaxSAT,https://www.sciencedirect.com/science/article/pii/S0306437923000042,Volume 114,Mar-23
Centrality measures in fuzzy social networks,https://www.sciencedirect.com/science/article/pii/S0306437923000157,Volume 114,Mar-23
Pushing diversity into higher dimensions: The LID effect on diversified similarity searching,https://www.sciencedirect.com/science/article/pii/S0306437923000029,Volume 114,Mar-23
