Title,URL,Volume Issue,Vol Issue Year
Product return prediction in live streaming e-commerce with cross-modal contrastive transformer,https://www.sciencedirect.com/science/article/pii/S0167923625000715,Volume 194,Jul-25
Sponsored search and organic listings in online food delivery platforms: The role of keyword categories,https://www.sciencedirect.com/science/article/pii/S0167923625000739,Volume 194,Jul-25
Unlocking big data success in the AI-driven era: Toward a unified theory for intelligent decision support,https://www.sciencedirect.com/science/article/pii/S0167923625000697,Volume 194,Jul-25
40 years of Decision Support Systems: A bibliometric analysis,https://www.sciencedirect.com/science/article/pii/S0167923625000703,Volume 194,Jul-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000636,Volume 193,Jun-25
ESG-KIBERT: A new paradigm in ESG evaluation using NLP and industry-specific customization,https://www.sciencedirect.com/science/article/pii/S0167923625000417,Volume 193,Jun-25
Dynamic model selection in enterprise forecasting systems using sequence modeling,https://www.sciencedirect.com/science/article/pii/S0167923625000405,Volume 193,Jun-25
Unravelling the effects of two inconsistencies on online review helpfulness: Evidence from TripAdvisor,https://www.sciencedirect.com/science/article/pii/S016792362500051X,Volume 193,Jun-25
Can comments and dialogues make sense? The effect of two-way interactions on sales and followers in live streaming commerce,https://www.sciencedirect.com/science/article/pii/S0167923625000521,Volume 193,Jun-25
Remote work in the metaverse: The impact of gamification and online social connectedness on job satisfaction,https://www.sciencedirect.com/science/article/pii/S016792362500048X,Volume 193,Jun-25
Enhancing return forecasting using LSTM with agent-based synthetic data,https://www.sciencedirect.com/science/article/pii/S0167923625000533,Volume 193,Jun-25
High efficiency or easy troubleshooting? Human use of autonomous Mobile healthcare robots,https://www.sciencedirect.com/science/article/pii/S0167923625000545,Volume 193,Jun-25
Augmenting micro-moment recommendations with group and serendipity perspectives,https://www.sciencedirect.com/science/article/pii/S0167923625000557,Volume 193,Jun-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000454,Volume 192,May-25
Optimal advertising strategy for streaming platforms: Whether to purchase external consumer data,https://www.sciencedirect.com/science/article/pii/S0167923625000284,Volume 192,May-25
Re-evaluating causal inference: Bias reduction in confounder-effect modifier scenarios,https://www.sciencedirect.com/science/article/pii/S0167923625000363,Volume 192,May-25
Not easy to “like”: How does cognitive load influence user engagement in online reviews?,https://www.sciencedirect.com/science/article/pii/S0167923625000375,Volume 192,May-25
To disclose or not? The impact of prosocial behavior disclosure on the attainment of social capital on social networking sites,https://www.sciencedirect.com/science/article/pii/S0167923625000387,Volume 192,May-25
Predicting stock price movement using social network analytics: Posts are sometimes less useful,https://www.sciencedirect.com/science/article/pii/S0167923625000399,Volume 192,May-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000326,Volume 191,Apr-25
Should a better-informed manufacturer hold pricing power for the direct channel: The role of consumer reviews,https://www.sciencedirect.com/science/article/pii/S0167923625000090,Volume 191,Apr-25
Multimodal review helpfulness prediction with a multi-level cognitive reasoning mechanism: A theory-driven graph learning model,https://www.sciencedirect.com/science/article/pii/S0167923625000077,Volume 191,Apr-25
"Does the most popular answer lead to the best answer: The moderating roles of tenure, social closeness, and cultural tightness",https://www.sciencedirect.com/science/article/pii/S0167923625000065,Volume 191,Apr-25
Tell me a story! Narrative-driven XAI with Large Language Models,https://www.sciencedirect.com/science/article/pii/S016792362500003X,Volume 191,Apr-25
A deep learning–based method to predict the length of stay for patients with traumatic fall injuries in support of physicians' clinical decisions and patient management,https://www.sciencedirect.com/science/article/pii/S0167923625000120,Volume 191,Apr-25
Contending with coronaries: May HIT be with you,https://www.sciencedirect.com/science/article/pii/S0167923625000119,Volume 191,Apr-25
Is seeing the same as doing? An evaluation of vicarious experiences in the metaverse,https://www.sciencedirect.com/science/article/pii/S016792362500020X,Volume 191,Apr-25
Understanding physicians' noncompliance use of AI-aided diagnosis—A mixed-methods approach,https://www.sciencedirect.com/science/article/pii/S0167923625000211,Volume 191,Apr-25
DECEN: A deep learning model enhanced by depressive emotions for depression detection from social media content,https://www.sciencedirect.com/science/article/pii/S0167923625000223,Volume 191,Apr-25
Exploring the impact of free live-streamed medical consultation on patient engagement and patient satisfaction in the multistage online consultation process: A quasi-experimental design,https://www.sciencedirect.com/science/article/pii/S0167923625000235,Volume 191,Apr-25
